/home/lucas_rayder7/autoresearch/TestCLI/train.py:251: UserWarning: Argument(s) 'var_limit' are not valid for transform GaussNoise
  A.GaussNoise(var_limit=(5.0, 15.0), p=0.3),
Data: xView2 directory already exists at content/data/xview2_jpeg
Metadata: Normalization statistics already cached at content/data/dataset_stats.json
Engine starting on: cuda. Configuration: {'in_channels': 6, 'f1': 32, 'f2': 64, 'f3': 128, 'f4': 256, 'f5': 512}

Step 00082 (7.0%) | Smooth Loss: 2.93839 | Img/sec: 20 | Elapsed: 63s
Step 00083 (7.1%) | Smooth Loss: 2.84794 | Img/sec: 20 | Elapsed: 64s
Step 00084 (7.1%) | Smooth Loss: 2.79740 | Img/sec: 20 | Elapsed: 64s
Step 00085 (7.2%) | Smooth Loss: 2.80414 | Img/sec: 20 | Elapsed: 65s
Step 00086 (7.3%) | Smooth Loss: 2.75290 | Img/sec: 20 | Elapsed: 66s
Step 00087 (7.4%) | Smooth Loss: 2.78578 | Img/sec: 20 | Elapsed: 67s
Step 00088 (7.5%) | Smooth Loss: 2.76291 | Img/sec: 20 | Elapsed: 67s
Step 00089 (7.6%) | Smooth Loss: 2.78998 | Img/sec: 20 | Elapsed: 68s
Step 00090 (7.7%) | Smooth Loss: 2.83699 | Img/sec: 20 | Elapsed: 69s
Step 00091 (7.8%) | Smooth Loss: 2.79498 | Img/sec: 20 | Elapsed: 70s
Step 00092 (7.8%) | Smooth Loss: 2.78311 | Img/sec: 20 | Elapsed: 71s
Step 00093 (7.9%) | Smooth Loss: 2.79473 | Img/sec: 20 | Elapsed: 71s
Step 00094 (8.0%) | Smooth Loss: 2.85158 | Img/sec: 20 | Elapsed: 72s
Step 00095 (8.1%) | Smooth Loss: 2.80274 | Img/sec: 20 | Elapsed: 73s
Step 00096 (8.2%) | Smooth Loss: 2.85272 | Img/sec: 20 | Elapsed: 74s
Step 00097 (8.3%) | Smooth Loss: 2.89060 | Img/sec: 20 | Elapsed: 74s
Step 00098 (8.4%) | Smooth Loss: 2.85404 | Img/sec: 20 | Elapsed: 75s
Step 00099 (8.4%) | Smooth Loss: 2.86741 | Img/sec: 20 | Elapsed: 76s
Step 00100 (8.5%) | Smooth Loss: 2.86556 | Img/sec: 20 | Elapsed: 77s
Step 00101 (8.6%) | Smooth Loss: 2.80961 | Img/sec: 20 | Elapsed: 78s
Step 00102 (8.7%) | Smooth Loss: 2.83681 | Img/sec: 20 | Elapsed: 78s
